,FullName,Name,Carbon,Production,Commodity,Commodity2,Pct,ScenarioType,carbon_Gt,CO2
35,Animal_min_masked_COC_land_s1_cc_20pct,land_s1_cc_20pct,Minimum,Land,Cotton,Cotton (Land),20,Nature,0.032983074,0.12104788
36,Animal_min_masked_COC_land_s1_cc_20pct_noBioC,land_s1_cc_20pct_noBioC,Minimum,Land,Cotton,Cotton (Land),20,NoBioC,0.000791639,0.002905314
37,Animal_min_masked_COC_land_s1_cc_30pct,land_s1_cc_30pct,Minimum,Land,Cotton,Cotton (Land),30,Nature,0.048097161,0.176516581
38,Animal_min_masked_COC_land_s1_cc_30pct_noBioC,land_s1_cc_30pct_noBioC,Minimum,Land,Cotton,Cotton (Land),30,NoBioC,0.001628714,0.005977379
39,Animal_min_masked_COC_land_s1_cc_60pct,land_s1_cc_60pct,Minimum,Land,Cotton,Cotton (Land),60,Nature,0.1307605,0.479891034
40,Animal_min_masked_COC_land_s1_cc_60pct_noBioC,land_s1_cc_60pct_noBioC,Minimum,Land,Cotton,Cotton (Land),60,NoBioC,0.015420061,0.056591623
41,Animal_min_masked_COC_land_s1_cshc100pct,land_s1_cshc100pct,Minimum,Land,Cashmere,Cashmere,100,Nature,0.188647418,0.692336024
42,Animal_min_masked_COC_land_s1_cshc100pct_NoBioC,land_s1_cshc100pct_NoBioC,Minimum,Land,Cashmere,Cashmere,100,NoBioC,0.188647418,0.692336024
43,Animal_min_masked_COC_land_s1_cshc10pct,land_s1_cshc10pct,Minimum,Land,Cashmere,Cashmere,10,Nature,0.0533071,0.195637058
44,Animal_min_masked_COC_land_s1_cshc10pct_NoBioC,land_s1_cshc10pct_NoBioC,Minimum,Land,Cashmere,Cashmere,10,NoBioC,0.003075296,0.011286337
45,Animal_min_masked_COC_land_s1_cshc20pct,land_s1_cshc20pct,Minimum,Land,Cashmere,Cashmere,20,Nature,0.082989694,0.304572177
46,Animal_min_masked_COC_land_s1_cshc20pct_NoBioC,land_s1_cshc20pct_NoBioC,Minimum,Land,Cashmere,Cashmere,20,NoBioC,0.007595159,0.027874233
47,Animal_min_masked_COC_land_s1_cshc30pct,land_s1_cshc30pct,Minimum,Land,Cashmere,Cashmere,30,Nature,0.104086017,0.381995681
48,Animal_min_masked_COC_land_s1_cshc30pct_NoBioC,land_s1_cshc30pct_NoBioC,Minimum,Land,Cashmere,Cashmere,30,NoBioC,0.014272976,0.052381822
49,Animal_min_masked_COC_land_s1_cshc60pct,land_s1_cshc60pct,Minimum,Land,Cashmere,Cashmere,60,Nature,0.163670187,0.600669588
50,Animal_min_masked_COC_land_s1_cshc60pct_NoBioC,land_s1_cshc60pct_NoBioC,Minimum,Land,Cashmere,Cashmere,60,NoBioC,0.043245243,0.158710041
51,Animal_min_masked_COC_land_s1_wc100pct,land_s1_wc100pct,Minimum,Land,Wool,Wool,100,Nature,0.040049699,0.146982394
52,Animal_min_masked_COC_land_s1_wc100pct_noBioC,land_s1_wc100pct_noBioC,Minimum,Land,Wool,Wool,100,NoBioC,0.040049699,0.146982394
53,Animal_min_masked_COC_land_s1_wc10pct,land_s1_wc10pct,Minimum,Land,Wool,Wool,10,Nature,0.007634523,0.028018698
54,Animal_min_masked_COC_land_s1_wc10pct_noBioC,land_s1_wc10pct_noBioC,Minimum,Land,Wool,Wool,10,NoBioC,0.000574077,0.002106864
55,Animal_min_masked_COC_land_s1_wc20pct,land_s1_wc20pct,Minimum,Land,Wool,Wool,20,Nature,0.015595938,0.057237092
56,Animal_min_masked_COC_land_s1_wc20pct_noBioC,land_s1_wc20pct_noBioC,Minimum,Land,Wool,Wool,20,NoBioC,0.001898702,0.006968236
57,Animal_min_masked_COC_land_s1_wc30pct,land_s1_wc30pct,Minimum,Land,Wool,Wool,30,Nature,0.022437717,0.082346422
58,Animal_min_masked_COC_land_s1_wc30pct_noBioC,land_s1_wc30pct_noBioC,Minimum,Land,Wool,Wool,30,NoBioC,0.004043305,0.01483893
59,Animal_min_masked_COC_land_s1_wc60pct,land_s1_wc60pct,Minimum,Land,Wool,Wool,60,Nature,0.036769357,0.13494354
60,Animal_min_masked_COC_land_s1_wc60pct_noBioC,land_s1_wc60pct_noBioC,Minimum,Land,Wool,Wool,60,NoBioC,0.013821369,0.050724424
61,n/a,n/a,Median,Land,Cotton,Cotton (Land),0,Nature,0,0
62,n/a,n/a,Median,Land,Cotton,Cotton (Land),0,NoBioC,0,0
63,n/a,n/a,Median,Land,Cashmere,Cashmere,0,Nature,0,0
64,n/a,n/a,Median,Land,Cashmere,Cashmere,0,NoBioC,0,0
65,n/a,n/a,Median,Land,Wool,Wool,0,Nature,0,0
66,n/a,n/a,Median,Land,Wool,Wool,0,NoBioC,0,0
67,n/a,n/a,Minimum,Land,Cotton,Cotton (Land),0,Nature,0,0
68,n/a,n/a,Minimum,Land,Cotton,Cotton (Land),0,NoBioC,0,0
69,n/a,n/a,Minimum,Land,Cashmere,Cashmere,0,Nature,0,0
70,n/a,n/a,Minimum,Land,Cashmere,Cashmere,0,NoBioC,0,0
71,n/a,n/a,Minimum,Land,Wool,Wool,0,Nature,0,0
72,n/a,n/a,Minimum,Land,Wool,Wool,0,NoBioC,0,0
